date,time,amazonID,indivOrGroup,groupSize,room,confirmationID,subjectNumber,round,gameRound,gameType,behaviouralType,choice,num_choice,payoff,didShare,info_share_cost,totalEarning,timeElapsed,latency
2021-11-15,16:5:9,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,1,0,2,choice,sure,,116,,,116,9193,0
2021-11-15,16:5:12,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,2,0,2,choice,risky,,87,,,183,11811,0
2021-11-15,16:5:15,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,3,0,2,choice,risky,,86,,,269,14423,0
2021-11-15,16:5:16,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,3,0,2,info-sharing,,2,86,0,20,86,15849,0
2021-11-15,16:5:17,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,4,0,2,choice,risky,,88,,,357,16504,0
2021-11-15,16:5:11,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,1,0,2,info-sharing,,1,116,1,20,96,10924,0
2021-11-15,16:5:20,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,5,0,2,info-sharing,,2,88,0,20,88,20278,0
2021-11-15,16:5:14,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,2,0,2,info-sharing,,2,87,0,20,87,13696,0
2021-11-15,16:5:19,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,4,0,2,info-sharing,,2,88,0,20,88,18395,0
2021-11-15,16:5:19,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,5,0,2,choice,risky,,88,,,445,19004,0
2021-11-15,16:5:21,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,6,0,2,choice,risky,,88,,,533,21023,0
2021-11-15,16:5:22,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,6,0,2,info-sharing,,2,88,0,20,88,22167,0
2021-11-15,16:5:23,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,7,0,2,choice,risky,,88,,,621,22849,0
2021-11-15,16:5:24,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,7,0,2,info-sharing,,2,88,0,20,88,24169,0
2021-11-15,16:5:25,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,8,0,2,choice,risky,,87,,,708,24681,0
2021-11-15,16:5:26,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,8,0,2,info-sharing,,2,87,0,20,87,26039,0
2021-11-15,16:5:27,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,9,0,2,choice,risky,,85,,,793,26659,0
2021-11-15,16:5:28,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,9,0,2,info-sharing,,2,85,0,20,85,28026,0
2021-11-15,16:5:29,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,10,0,2,choice,risky,,87,,,880,28758,0
2021-11-15,16:5:30,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,10,0,2,info-sharing,,2,87,0,20,87,30189,0
2021-11-15,16:5:32,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,11,0,2,info-sharing,,2,87,0,20,87,32178,0
2021-11-15,16:5:31,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,11,0,2,choice,risky,,87,,,967,30855,0
2021-11-15,16:5:35,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,12,0,2,choice,risky,,253,,,1220,34660,0
2021-11-15,16:5:36,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,12,0,2,info-sharing,,2,253,1,20,233,36100,0
2021-11-15,16:5:37,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,13,0,2,choice,risky,,87,,,1287,37148,0
2021-11-15,16:5:39,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,13,0,2,info-sharing,,2,87,0,20,87,38593,0
2021-11-15,16:5:39,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,14,0,2,choice,risky,,86,,,1373,39258,0
2021-11-15,16:5:41,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,14,0,2,info-sharing,,2,86,1,20,66,40621,0
2021-11-15,16:5:41,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,15,0,2,choice,risky,,86,,,1439,41337,0
2021-11-15,16:5:43,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,15,0,2,info-sharing,,2,86,1,20,66,43043,0
2021-11-15,16:5:44,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,16,0,2,choice,risky,,86,,,1505,43717,0
2021-11-15,16:5:45,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,16,0,2,info-sharing,,2,86,1,20,66,44805,0
2021-11-15,16:5:46,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,17,0,2,choice,risky,,86,,,1571,45532,0
2021-11-15,16:5:47,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,17,0,2,info-sharing,,2,86,0,20,86,47330,0
2021-11-15,16:5:48,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,18,0,2,choice,risky,,85,,,1656,47957,0
2021-11-15,16:5:50,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,18,0,2,info-sharing,,2,85,0,20,85,49727,0
2021-11-15,16:5:51,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,19,0,2,choice,risky,,86,,,1742,50390,0
2021-11-15,16:5:52,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,19,0,2,info-sharing,,2,86,0,20,86,51428,0
2021-11-15,16:5:52,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,20,0,2,choice,risky,,87,,,1829,52198,0
2021-11-15,16:5:54,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,20,0,2,info-sharing,,2,87,0,20,87,53537,0
2021-11-15,16:5:54,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,21,0,2,choice,risky,,251,,,2080,54189,0
2021-11-15,16:5:56,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,21,0,2,info-sharing,,2,251,0,20,251,55632,0
2021-11-15,16:5:57,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,22,0,2,choice,risky,,87,,,2167,56671,0
2021-11-15,16:5:58,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,22,0,2,info-sharing,,2,87,0,20,87,57724,0
2021-11-15,16:5:59,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,23,0,2,choice,risky,,252,,,2419,58523,0
2021-11-15,16:6:0,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,23,0,2,info-sharing,,2,252,1,20,232,59898,0
2021-11-15,16:6:1,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,24,0,2,choice,risky,,254,,,2653,60903,0
2021-11-15,16:6:3,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,24,0,2,info-sharing,,2,254,1,20,234,62530,0
2021-11-15,16:6:4,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,25,0,2,choice,risky,,86,,,2719,63788,0
2021-11-15,16:6:5,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,25,0,2,info-sharing,,2,86,0,20,86,65186,0
2021-11-15,16:6:6,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,26,0,2,choice,risky,,86,,,2805,65846,0
2021-11-15,16:6:7,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,26,0,2,info-sharing,,2,86,0,20,86,67286,0
2021-11-15,16:6:8,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,27,0,2,choice,risky,,186,,,2991,67876,0
2021-11-15,16:6:10,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,27,0,2,info-sharing,,2,186,1,20,166,69525,0
2021-11-15,16:6:11,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,28,0,2,choice,risky,,87,,,3058,70745,0
2021-11-15,16:6:13,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,28,0,2,info-sharing,,2,87,0,20,87,72414,0
2021-11-15,16:6:14,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,29,0,2,choice,risky,,87,,,3145,73453,0
2021-11-15,16:6:15,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,29,0,2,info-sharing,,2,87,0,20,87,74918,0
2021-11-15,16:6:16,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,30,0,2,choice,risky,,84,,,3229,75958,0
2021-11-15,16:6:18,INHOUSETEST3,1,1,tVrsgUK_session_0,q_xm5Le48rEeBS7KAAAA,1,30,0,2,info-sharing,,2,84,0,20,NaN,77662,0
